pathway	pval	padj	ES	NES	nMoreExtreme	size
5991987	0.0052538393441361	0.029044809959092	-0.611996494308261	-1.85354167061093	272	15
5991077	0.0059155094971083	0.0323970893953782	0.571035371603074	1.80978481548384	402	24
5991036	0.00600076373356609	0.0325596995173123	-0.313295856746286	-1.52838884923583	219	117
5991346	0.00667317017997766	0.0358759424354762	0.501636686189791	1.75556620790526	471	37
5991330	0.00723142837712239	0.0375628220766151	-0.403084335039289	-1.67066218778518	318	51
5991331	0.00723142837712239	0.0375628220766151	-0.403084335039289	-1.67066218778518	318	51
5991332	0.00723142837712239	0.0375628220766151	-0.403084335039289	-1.67066218778518	318	51
5991123	0.00724334282364763	0.0375628220766151	0.480326591577504	1.72813118672882	518	42
5991588	0.00741212818132698	0.0378644273601932	0.465355980487371	1.70524847647867	534	46
5991832	0.00743073233177852	0.0378644273601932	0.572227605140552	1.79575815981314	504	23
5992205	0.00766854990583804	0.0387393986622508	0.607152904722031	1.79357950266738	508	18
5991048	0.00825505622193594	0.0413458371457646	0.364221199877863	1.56808842901433	659	112
5992176	0.00858082206730966	0.0426132350122327	0.443286197673505	1.67265442440979	628	53
5991518	0.00874268898738659	0.0430522331647777	0.347065500523327	1.53465386255694	715	134
5991833	0.00904354795618488	0.0441626591860362	0.417546400443628	1.64055148158142	676	66
5991146	0.00924677929975237	0.0447819228897098	-0.274427535200719	-1.42547813181137	294	177
5992321	0.0124045407636739	0.0595824662910893	-0.480427508292358	-1.71152895579686	600	27
5991323	0.0125685345228139	0.0597537938574279	-0.366935300107454	-1.57493399761828	540	60
5991602	0.0126441475056673	0.0597537938574279	0.472066262259254	1.67046577241847	897	39
5991604	0.0131525423728814	0.0616591186440678	0.586522959215298	1.732636950776	872	18
5991324	0.0133915031612346	0.0622811178768531	-0.362767439433428	-1.56908346397872	573	62
5991148	0.0144463122504728	0.066657787234465	-0.308544847575245	-1.47608950320053	549	104
5992197	0.0148004185976977	0.0677581663925848	-0.435539273123603	-1.65540134569598	692	35
5991414	0.0149242612366526	0.0677954812765769	0.346625157430587	1.50340300909084	1201	117
5991145	0.0152360223098898	0.0686793005661187	-0.297012265767507	-1.44705391587221	559	116
5991222	0.0154659717964439	0.0691836600970697	0.610982226345196	1.71967581185367	1008	15
5991859	0.0164470941382473	0.0730151300379767	-0.459586612583835	-1.66691865792675	788	29
5992400	0.0166309012875536	0.0732760011617025	0.607657604764865	1.7103183034537	1084	15
5991934	0.0174348619578302	0.0760664487129562	-0.553600691657995	-1.70776351884386	897	16
